1135;1.97;1.34;-9.30
1160;0.77;0.78;-9.17
1179;2.71;0.97;-8.74
1200;1.82;0.56;-10.12
1219;2.39;1.55;-9.95
1239;2.11;0.26;-10.70
1258;2.04;0.48;-9.64
1278;1.16;0.60;-9.85
1298;1.55;0.93;-8.94
1317;1.65;1.22;-9.60
1337;1.85;1.59;-10.23
1356;2.41;0.83;-10.04
1377;2.15;0.40;-10.60
1396;1.86;0.63;-9.92
1416;2.59;0.02;-8.89
1435;1.28;1.17;-9.94
1455;2.58;0.94;-9.55
1475;2.21;0.67;-10.18
1495;2.39;0.58;-10.55
1514;1.83;0.18;-8.64
1533;1.09;1.07;-8.84
1553;2.05;0.92;-9.08
1575;1.35;0.76;-9.47
1595;2.27;0.97;-9.77
1614;2.20;0.48;-9.60
1635;2.24;0.23;-9.08
1654;1.57;0.06;-9.58
1674;1.46;0.70;-9.10
1693;0.89;1.05;-9.93
1748;1.45;0.41;-10.07
1769;1.24;1.12;-9.26
1788;3.74;-0.12;-7.32
1808;0.06;1.88;-9.98
1827;2.57;1.64;-7.64
1847;2.20;0.42;-8.41
1867;2.01;0.27;-7.11
1887;0.61;0.38;-8.95
1906;1.11;1.05;-7.98
1926;1.46;0.03;-9.41
1945;1.78;1.26;-7.27
1966;1.02;0.97;-9.32
1985;1.28;0.87;-8.52
2004;2.07;0.25;-10.30
2027;1.26;-0.07;-10.87
2046;3.30;0.69;-10.62
2066;1.87;0.69;-11.89
2086;3.05;2.20;-10.12
2106;1.30;0.43;-10.62
2125;2.00;1.24;-7.18
2145;0.41;0.94;-8.99
2165;2.27;1.41;-7.07
2185;1.16;0.33;-9.40
2204;1.31;0.72;-8.50
2224;1.85;0.68;-9.87
2243;1.30;1.44;-10.47
2264;1.93;0.94;-10.00
2283;1.54;0.58;-11.03
2302;3.29;1.57;-10.30
2322;2.27;-0.48;-11.14
2342;3.29;1.06;-11.13
2398;1.24;0.29;-9.40
2417;1.51;1.47;-10.31
2437;1.34;0.28;-9.75
2457;1.60;0.57;-10.32
2475;1.97;0.48;-7.38
2494;1.37;0.32;-9.32
2513;2.05;0.53;-7.37
2533;1.86;0.37;-9.52
2553;2.46;0.82;-7.95
2573;1.56;0.81;-9.64
2592;2.64;0.75;-7.99
2612;1.84;1.02;-11.26
2631;2.69;0.80;-9.32
2652;1.54;-0.48;-11.09
2671;2.39;-0.09;-9.87
2691;1.83;0.79;-11.70
2710;2.22;1.33;-9.95
2731;1.57;0.44;-10.00
2750;1.78;0.80;-9.96
2769;1.54;0.51;-10.13
2789;1.93;1.05;-9.85
2808;1.20;0.65;-9.61
2829;1.22;1.41;-10.12
2848;1.63;0.35;-9.36
2871;1.81;1.80;-9.98
2890;0.86;0.30;-9.44
2910;1.00;1.79;-10.07
2929;1.32;0.65;-8.95
2949;1.47;1.11;-9.76
2969;2.52;0.15;-7.50
2989;1.33;1.07;-9.82
3044;3.26;0.69;-9.45
3063;1.79;-0.08;-11.06
3083;2.01;0.35;-9.57
3102;1.53;0.60;-9.90
3123;1.58;0.80;-9.11
3142;2.38;1.19;-9.43
3162;1.95;0.87;-9.95
3181;2.60;0.85;-9.50
3201;2.37;0.65;-10.64
3221;2.10;0.44;-10.12
3240;2.32;0.47;-8.66
3260;0.85;0.92;-9.25
3279;2.12;0.99;-9.27
3299;1.98;0.53;-10.01
3319;2.41;0.77;-10.23
3341;1.98;0.56;-7.29
3361;0.92;1.35;-7.45
3381;1.49;1.32;-9.75
3400;1.96;0.88;-8.56
3420;1.27;0.78;-8.07
3439;0.57;0.95;-9.02
3460;0.89;1.18;-8.31
3479;1.47;0.24;-9.13
3499;2.79;0.68;-7.86
3518;0.84;0.94;-10.10
3538;2.73;0.81;-7.17
3558;1.75;0.38;-8.86
3577;1.72;0.06;-6.57
3597;1.02;0.41;-9.54
3616;1.64;0.76;-7.11
3637;1.56;0.16;-9.64
3692;2.76;0.45;-8.11
3712;1.50;0.51;-9.05
3731;2.48;1.20;-8.50
3750;1.68;1.13;-9.66
3771;2.86;1.30;-7.56
3792;1.37;0.29;-9.56
3812;2.45;0.67;-7.28
3832;1.40;0.83;-10.26
3852;2.51;0.38;-7.36
3871;1.45;0.17;-9.40
3891;2.46;1.19;-7.42
3911;1.09;0.89;-9.45
3931;2.30;0.77;-6.74
3950;1.15;0.56;-9.32
3970;2.39;0.82;-7.07
3989;1.24;0.66;-9.68
4009;2.41;0.51;-7.25
4029;1.37;0.33;-9.35
4048;2.45;0.77;-7.16
4068;1.20;0.66;-9.56
4087;2.24;0.29;-7.03
4108;1.27;0.24;-9.37
4127;2.31;1.10;-7.05
4147;0.91;0.39;-9.39
4166;2.21;0.75;-7.13
4186;1.56;0.19;-9.09
4208;0.43;0.94;-8.47
4228;1.73;1.23;-10.04
4247;1.25;0.52;-10.19
4268;2.24;0.78;-10.43
