Column1;Column2;Column3
13094;256;263
13119;255;264
13144;256;263
13168;260;267
13193;256;263
13217;256;263
13242;256;264
13266;260;263
13291;256;263
13316;256;263
13376;259;263
13401;256;264
13427;256;262
13452;256;263
13476;256;263
13501;256;264
13526;256;268
13551;256;263
13611;260;264
13636;256;263
13661;260;263
13685;260;263
13710;256;263
13734;256;264
13761;256;264
13786;260;264
13810;256;263
13835;256;263
13859;256;263
13885;256;263
13910;256;264
13934;256;263
13959;256;263
13983;256;263
14008;256;264
14032;256;264
14059;256;263
14084;256;264
14108;256;262
14133;256;262
14157;256;263
14182;256;264
14206;256;264
14231;256;264
14256;256;267
14280;255;263
14305;256;267
14330;256;263
14355;256;263
14382;256;263
14406;256;262
14431;256;262
14455;256;264
14480;256;263
14504;256;263
14529;256;263
14554;255;267
14578;256;264
14603;256;263
14627;256;264
14652;256;263
14680;256;264
14704;256;268
14729;256;263
14753;256;263
14778;256;263
14802;256;263
14827;256;263
14887;256;268
14912;255;264
14937;256;263
14961;260;267
14986;256;263
15013;256;263
15038;256;263
15063;256;263
15087;260;264
15112;256;268
15136;256;263
15161;256;263
15185;256;268
15246;256;262
15270;256;262
15295;256;264
15320;256;264
15347;260;264
15372;260;266
15396;256;268
15421;256;263
15446;256;263
15470;260;264
15495;256;262
15519;256;264
15544;256;263
15568;256;263
15593;256;263
15618;256;263
15645;256;264
15670;256;263
15694;256;263
15719;256;264
15744;256;263
15768;256;267
15793;256;264
15817;256;264
15842;260;264
15866;256;266
15891;256;263
15916;256;262
15940;255;264
15968;256;264
15992;256;263
16017;256;263
16041;256;263
16066;256;263
16091;256;264
16115;256;263
16140;256;267
16164;256;263
16189;256;264
16214;256;263
16238;256;263
16265;256;268
16290;256;268
16315;256;263
16339;256;263
16400;256;263
16424;260;264
16449;260;263
16474;256;263
16498;260;264
16523;260;264
16547;260;263
16572;256;263
16594;256;263
16619;256;263
16644;256;263
16668;256;262
16693;255;263
16717;256;263
16742;256;263
16766;255;263
16791;256;263
16816;256;264
16876;256;262
16901;256;264
16928;256;263
16953;256;263
16977;256;263
17002;256;263
17027;256;263
17051;256;264
17076;256;263
17100;260;264
17125;257;267
17149;260;268
17174;259;267
17199;256;267
17226;256;263
17251;256;268
17275;256;267
17300;256;263
17325;260;268
17349;256;264
17374;256;263
17398;256;264
17423;256;263
17447;256;262
17472;260;262
17497;256;268
17524;256;263
17549;260;267
17573;256;263
17598;256;264
17623;256;268
17647;256;263
17672;256;268
