Column1;Column2;Column3;Column4
5286;0.80;0.26;6.19
5308;-1.48;-0.53;11.89
5329;0.49;-0.17;6.17
5351;-0.38;-0.96;12.19
5372;-0.39;-0.19;5.20
5394;-0.77;-1.23;12.96
5415;0.56;0.18;4.97
5437;-0.67;-0.77;13.41
5458;-0.34;0.44;4.55
5480;-0.91;-1.41;13.58
5501;5.86;0.27;13.77
5526;-0.79;-0.78;3.18
5548;1.07;-0.06;4.16
5569;-1.04;-1.63;14.40
5591;0.68;-1.03;5.53
5612;-0.88;-1.07;12.99
5634;3.49;-0.25;16.80
5655;-0.79;-1.22;12.25
5677;0.60;0.22;6.18
5698;-1.30;-1.62;11.62
5720;4.00;0.07;6.75
5741;-3.99;-0.99;10.73
5798;3.39;-0.62;-0.62
5820;-1.84;0.05;5.29
5841;9.42;0.35;32.49
5863;-2.54;-0.81;5.26
5884;3.32;-0.71;16.80
5906;-0.10;0.30;4.01
5927;4.29;-0.13;17.18
5949;-2.00;-0.81;3.53
5970;1.70;-0.40;17.14
5994;3.11;0.04;16.28
6016;3.58;-0.62;18.41
6037;0.57;-1.42;4.69
6059;1.75;-0.42;17.54
6080;-0.50;-0.13;4.18
6102;4.66;-0.91;16.90
6123;-0.09;0.06;5.70
6145;3.37;-0.40;15.96
6166;5.51;-0.27;13.36
6188;5.21;-0.23;13.59
6209;0.36;-0.08;7.02
6231;3.08;-0.97;11.82
6252;-2.79;-0.36;8.28
6274;4.71;-0.81;16.03
6295;-1.50;-0.71;9.81
6317;5.73;-0.53;14.80
6338;-1.22;-0.35;5.31
6360;1.74;-0.55;9.25
6381;0.76;-0.25;6.42
6403;2.83;-0.69;7.36
6424;-2.90;-0.62;10.43
6449;1.29;-0.25;7.27
6506;-1.18;0.35;3.92
6528;4.22;-0.93;17.47
6549;-1.06;-0.08;1.42
6571;0.88;-0.85;17.85
6592;0.58;-0.20;1.59
6614;-1.45;-0.73;17.03
6635;1.46;-0.63;2.72
6657;-1.46;-0.50;15.15
6678;0.79;0.09;5.20
6700;0.61;-0.72;12.95
6721;-0.84;-0.72;7.99
6743;2.73;-0.68;12.39
6764;4.85;-0.68;13.04
6786;4.19;0.00;12.33
6807;1.12;-0.60;7.94
6829;2.31;-0.49;15.50
6850;-1.40;-0.21;4.99
6872;4.96;-0.28;16.42
6893;-2.31;-1.03;4.08
