Column1;Column2;Column3
1145;261;266
1170;261;266
1193;261;267
1218;261;266
1243;262;266
1266;261;267
1291;262;271
1315;261;266
1339;261;267
1363;261;270
1388;262;266
1412;261;271
1438;261;270
1463;261;266
1487;261;266
1511;262;272
1536;260;271
1560;261;271
1584;261;270
1644;260;266
1669;260;271
1692;262;266
1717;261;270
1741;261;266
1765;262;271
1793;262;266
1816;261;266
1841;261;270
1865;262;270
1889;261;266
1913;262;271
1938;261;266
1961;261;266
1986;262;268
2011;262;271
2034;261;267
2059;261;271
2085;261;267
2110;265;267
2134;266;267
2158;265;267
2183;261;266
2206;260;267
2231;261;267
2254;261;267
2279;261;271
2304;261;266
2327;261;267
2352;260;267
2376;261;270
2439;261;267
2462;262;267
2487;260;266
2511;261;266
2535;261;266
2560;262;266
2583;262;270
2608;262;271
2632;266;271
2656;266;271
2680;264;267
2705;266;266
2732;261;267
2755;266;271
2780;261;267
2804;260;266
2828;261;268
2852;264;267
2877;262;266
2900;262;266
2925;260;266
2950;262;267
2973;261;266
2998;264;266
3022;262;268
3049;261;267
3074;261;266
3097;262;267
3122;261;266
3146;262;267
3206;261;266
3230;261;266
3255;261;267
3278;261;267
3303;260;266
3328;261;267
3351;261;266
3379;260;267
3402;261;267
3427;261;266
3450;261;267
3475;261;268
3500;261;266
3523;261;266
3548;261;266
3571;261;267
3596;261;267
3620;262;267
3644;260;266
3668;261;266
3695;261;267
3720;262;267
3743;261;266
3768;261;266
3792;260;267
3816;261;266
3841;262;268
3864;262;266
3889;260;267
3913;266;266
3973;262;266
3997;264;267
4024;261;267
4048;262;266
4072;262;266
4097;260;266
4121;260;266
4145;266;266
4169;261;267
4194;261;266
4217;266;267
4242;266;267
4267;261;266
4290;262;267
4315;265;267
4341;261;267
4366;262;267
4389;265;266
4414;265;267
4439;261;267
4462;262;266
4487;265;267
4511;260;267
4535;261;266
4559;260;267
4584;261;267
4608;265;267
4635;261;266
4659;260;267
4683;261;268
4743;261;266
4767;261;266
4792;260;271
4815;261;267
4840;262;266
4865;261;271
4888;260;271
4913;261;271
4937;261;266
4961;262;267
4987;260;266
5012;261;267
5037;261;267
5060;261;266
5085;265;267
5108;261;266
5133;262;267
5157;261;267
5181;261;266
5206;261;266
5230;261;267
5254;261;266
5280;262;267
5305;262;266
5329;261;266
5353;260;267
5378;261;272
5402;262;266
5426;261;267
5450;262;268
5474;261;268
5534;260;272
5559;261;268
5582;262;266
5607;260;270
5634;261;271
5658;261;271
5683;262;267
5706;262;266
5731;261;267
5754;265;271
5779;262;271
5804;262;266
5827;262;266
5852;262;266
5876;261;268
5900;262;267
5927;261;266
5951;261;267
5976;261;268
6000;261;267
6024;260;271
6048;260;266
6072;265;270
6096;260;266
6121;265;271
6146;261;270
6169;260;271
6194;261;267
6217;261;267
6245;260;266
6304;261;271
6329;261;267
6352;260;267
6377;260;266
6402;261;271
6425;260;271
6450;261;268
6473;266;267
6498;265;272
6522;261;266
6546;265;267
6574;261;267
6597;261;272
6622;261;267
6646;261;272
6670;262;267
6694;265;266
6719;265;267
6743;261;271
6767;261;268
6792;262;272
6815;265;271
6840;261;271
6864;265;272
6891;265;270
6915;261;272
6939;266;271
6964;260;271
6988;262;266
7012;260;271
7072;261;267
7096;262;271
7120;266;267
7145;261;266
7169;262;266
7193;260;266
7220;262;267
7244;261;266
7268;261;266
7292;262;271
7317;261;267
7341;260;267
7365;260;267
7390;261;266
7413;260;267
7438;261;266
7462;261;267
7486;262;267
7511;261;267
7537;261;267
7562;265;267
7585;265;267
7610;262;267
7633;261;267
7658;261;266
7683;264;267
7706;261;267
7731;261;266
7755;261;268
7779;260;267
7803;261;266
7866;261;267
7890;261;267
7914;260;267
7939;260;267
7963;261;268
7987;260;267
8011;260;266
8036;261;267
8059;260;266
8084;265;266
8109;260;267
8132;262;267
8157;261;267
8183;261;266
8208;260;266
8231;261;266
8256;265;266
8281;260;266
8304;262;266
8329;261;267
8352;261;266
8377;261;267
8401;261;268
8425;260;267
8450;261;267
8476;261;267
8501;261;267
8524;260;267
8549;260;267
8573;261;267
8633;262;266
8657;261;266
8682;261;266
8706;261;266
8730;261;266
8755;260;266
8778;261;267
8803;261;266
8829;262;266
8854;261;267
8878;262;267
8902;261;267
8926;261;268
8950;260;266
8975;261;266
8998;262;266
9023;261;267
9048;261;266
9071;260;267
9096;262;267
9122;261;267
9147;261;267
9170;265;267
9195;261;266
9219;261;267
9243;265;266
9268;260;266
9291;261;267
9316;262;266
9340;260;268
9400;262;268
9424;265;266
9449;261;267
9476;261;266
9500;265;267
9524;266;266
9548;260;267
9573;261;267
9596;260;267
9621;260;266
9645;261;268
9669;260;266
9694;262;266
9717;261;266
9742;261;267
9768;260;266
9793;260;266
9817;261;267
9841;261;266
9866;260;267
9889;260;267
9914;266;266
9938;261;268
9962;266;267
9987;265;266
10011;261;266
10035;262;267
10062;261;266
10086;264;267
10110;261;266
10170;265;267
10194;260;266
10219;261;267
10244;260;267
10267;260;267
10292;260;266
10316;260;266
10340;260;271
10364;262;267
10391;265;266
10416;261;266
10440;261;267
10464;260;271
10488;261;267
10513;261;266
10537;265;270
10561;262;266
10586;260;270
10610;261;271
10635;265;266
10658;261;270
10686;260;266
10710;262;271
10734;260;266
10759;265;271
10782;261;266
10807;262;266
10831;260;266
10856;265;266
10880;261;267
10904;264;267
10964;265;267
10989;265;271
11016;261;270
11040;260;266
11064;260;272
11088;265;267
11113;261;267
11138;265;271
11161;261;272
11186;260;267
11210;261;267
11234;266;271
11258;260;267
11283;265;270
11310;266;266
11334;262;266
11358;265;266
11382;266;271
11407;260;271
11431;261;266
11455;260;267
11480;265;267
11504;260;271
11528;261;267
11552;261;266
11577;260;266
11603;261;267
11628;261;266
11652;261;270
11676;265;266
11737;260;270
11761;261;266
11785;265;270
11809;265;266
11834;265;267
11858;260;270
11882;261;266
11907;261;266
11933;260;266
11958;260;266
11982;260;271
12006;260;271
12030;265;267
12055;261;270
12080;260;266
12103;265;267
12128;260;267
12152;261;270
12177;260;266
12200;261;266
12228;261;266
12252;261;266
12276;265;267
12301;260;266
12324;262;266
12349;260;266
12374;265;266
12397;261;266
12422;265;266
12446;261;267
12507;265;267
12530;266;266
12558;261;266
12581;265;266
12606;261;266
12631;261;267
12654;265;267
12679;266;266
12703;265;266
12728;265;270
12751;265;270
12776;266;267
12801;261;266
12824;265;266
12852;261;266
12875;260;266
12900;261;266
12924;260;266
12949;261;266
12973;261;267
12997;260;266
13022;264;267
13045;261;266
13070;260;266
13094;260;266
13119;261;266
13146;260;266
