1133;0.87;0.36;-9.85
1163;0.85;0.34;-9.86
1187;0.86;0.35;-9.85
1212;0.85;0.33;-9.84
1236;0.84;0.35;-9.84
1261;0.85;0.36;-9.87
1286;0.84;0.35;-9.84
1310;0.84;0.34;-9.84
1335;0.84;0.35;-9.86
1359;0.85;0.34;-9.87
1384;0.85;0.36;-9.87
1409;0.86;0.36;-9.85
1433;0.88;0.35;-9.85
1460;0.84;0.36;-9.84
1484;0.86;0.38;-9.84
1509;0.85;0.37;-9.87
1533;0.85;0.36;-9.86
1558;0.84;0.37;-9.85
1583;0.86;0.36;-9.88
1607;0.86;0.36;-9.89
1632;0.86;0.36;-9.86
1656;0.84;0.39;-9.85
1681;0.83;0.37;-9.85
1705;0.85;0.38;-9.84
1730;0.85;0.38;-9.83
1755;0.84;0.38;-9.86
1781;0.84;0.39;-9.87
1806;0.83;0.35;-9.86
1830;0.84;0.34;-9.88
1855;0.84;0.34;-9.85
1880;0.85;0.34;-9.85
1904;0.85;0.33;-9.88
1965;0.84;0.33;-9.85
1989;0.85;0.34;-9.84
2014;0.84;0.36;-9.87
2038;0.85;0.36;-9.86
2063;0.82;0.33;-9.87
2087;0.81;0.34;-9.86
2112;0.84;0.33;-9.88
2174;0.83;0.35;-9.83
2199;0.83;0.35;-9.84
2258;0.84;0.34;-9.86
2283;0.84;0.36;-9.86
2342;0.86;0.36;-9.88
2367;0.86;0.37;-9.84
2426;0.85;0.36;-9.87
2451;0.83;0.36;-9.85
2509;0.84;0.37;-9.83
2534;0.85;0.36;-9.85
2593;0.87;0.35;-9.89
2618;0.86;0.38;-9.87
2676;0.86;0.36;-9.85
2704;0.86;0.35;-9.85
2728;0.85;0.35;-9.86
2753;0.86;0.33;-9.87
2778;0.86;0.35;-9.84
2802;0.83;0.35;-9.86
2827;0.85;0.35;-9.88
2851;0.85;0.34;-9.86
2876;0.85;0.35;-9.86
2900;0.85;0.33;-9.87
2924;0.85;0.34;-9.86
2949;0.84;0.35;-9.85
2973;0.82;0.36;-9.85
2998;0.86;0.34;-9.84
3020;0.85;0.34;-9.85
3045;0.83;0.35;-9.87
3069;0.85;0.36;-9.87
3094;0.84;0.36;-9.84
3119;0.84;0.36;-9.84
3143;0.84;0.35;-9.88
3168;0.86;0.36;-9.86
3192;0.84;0.36;-9.85
3217;0.84;0.35;-9.88
3241;0.85;0.36;-9.83
3266;0.83;0.37;-9.86
3291;0.84;0.37;-9.86
3318;0.86;0.38;-9.86
3343;0.84;0.36;-9.87
3367;0.86;0.39;-9.88
3391;0.83;0.38;-9.87
3416;0.85;0.38;-9.81
3440;0.85;0.38;-9.84
